ID,tweet_text,tweet text,0
15,b'Oya APC answer! &amp; we dont want all this talk of commissioning projects to make future life better!   What have you done in the last 6 years to have  made today a more comfortable one for all?   @OfficialAPCNg @OfficialPDPNig #APC #PDP https://t.co/TJKigL2rZr', Oya APC answer amp we do not want all this talk of commissioning projects to make future life better What have you done in the last years to have made today more comfortable one for all ,0
16,b'@YourViewTVC I think \xf0\x9f\xa4\x94 that the youths should appoint a youth in the government and we should all vote for that person than voting for #APC or #PDP', think xf xa that the youths should appoint youth in the government and we should all vote for that person than voting for or ,0
17,b'One of these men is called a RUBBER STAMP Senate President. Do you know his real name? #mindsetQuiz #Nigeria  #APC #PDP https://t.co/5UazArm24p', One of these men is called RUBBER STAMP Senate President Do you know his real name ,0
18,b'#NaijaPatriotReport   Calling on @OfficialPDPNig to put their best \xf0\x9f\xa6\xb6 forward !  Let\xe2\x80\x99s go Head to Head   #APC \xf0\x9f\x86\x9a  #PDP   Tabular form like we used to in Primary School!  All the \xe2\x98\x82 has is stupid apologies for 16yrs of plenty  May  \xe2\x98\x82 be forever buried in the Annals of History https://t.co/0YLSW4Kye2', Calling on to put their best xf xa xb forward Let xe go Head to Head xf Tabular form like we used to in Primary School All the xe has is stupid apologies for yrs of plenty May xe be forever buried in the Annals of History ,1
19,"b'Just published: front page of Daily Independent Newspapers for tomorrow, 24 March 2021. #Nigeria #Insecurity #economy #APC #PDP #Newspaper #FrontPage https://t.co/RmEoxzcCEJ'", Just published front page of Daily Independent Newspapers for tomorrow March ,0
20,"b'In Nigeria we have no good leaders not until we celebrate 3 months of uninterrupted power supply, we have no good leaders.  #Nigeria #APC #PDP  #NEPA  #PHEDC'", In Nigeria we have no good leaders not until we celebrate months of uninterrupted power supply we have no good leaders ,0
21,"b""\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc Twin Court comes with a Verifiable Certificate of Occupancy title.  \xf0\x9f\x91\x89\xf0\x9f\x8f\xbc Twin Court enjoys 24/7 security both of property and life. ENQUIRIES/ INSPECTIONS: 09079058694 WHAT'S APP: 08139193338 #AdekunleGold  #APC #PDP""", xf xf xbc Twin Court comes with Verifiable Certificate of Occupancy title xf xf xbc Twin Court enjoys security both of property and life ENQUIRIES INSPECTIONS what is APP ,0
22,b'Elective office for young people in 2023 is very possible. You want to know how? Watch Politics With Value https://t.co/FEcUVR4u38 and visit https://t.co/TzBR295QcE for more info. @NewvoicesNG @WFD_Nigeria @PolitiKIT_NG #PoliticsLive #PoliticsToday #PDP #APC https://t.co/4P7EyK9Yi5', Elective office for young people in is very possible You want to know how Watch Politics With Value and visit for more info ,0
23,b'Elective office for young people in 2023 is very possible. You want to know how? Watch Politics With Value https://t.co/S2tMft7txF and visit https://t.co/3Fi4uq5NQ2 for more info. @NewvoicesNG @WFD_Nigeria @PolitiKIT_NG #PoliticsLive #PoliticsToday #PDP #APC https://t.co/g7K9XPu9Nn', Elective office for young people in is very possible You want to know how Watch Politics With Value and visit for more info ,0
24,b'Give PDP Another Chance \xe2\x80\x94 Saraki Begs Nigerians: https://t.co/CZPvzC6QTI  #APC #Buhari #BukolaSaraki #PDP #Politics #NigeriaNews https://t.co/CZPvzC6QTI', Give PDP Another Chance xe Saraki Begs Nigerians ,0
25,"b'The PDP has rejected the judgement of a Federal High Court, Abuja, which ordered the INEC to issue former Senator Ifeanyi Ararume a Certificate  of Return, as the duly elected  Senator for Imo North Senatorial seat.  #APC #Imostate #PDP #Politics  https://t.co/rcXsPeuUoR https://t.co/D2ht0gODHB'", The PDP has rejected the judgement of Federal High Court Abuja which ordered the INEC to issue former Senator Ifeanyi Ararume Certificate of Return as the duly elected Senator for am going to North Senatorial seat ,0
26,"b'A former House of Reps Speaker, Dimeji Bankole and a former Governor Gbenga Daniel, Both Ogun State Sons meet President Buhari today at the Villa, officially sealing their defections to the APC.  @OfficialAPCNg #pdp #apc @OfficialPDPNig https://t.co/zDR6ZrqhLu'", former House of Reps Speaker Dimeji Bankole and former Governor Gbenga Daniel Both Ogun State Sons meet President Buhari today at the Villa officially sealing their defections to the APC ,0
27,"b'Politics is for everyone, women and youth included. Get to know how to participate in politics in Nigeria by watching Politic With Value by clicking https://t.co/S2tMft7txF  #politics #PDP #APC  @NewvoicesNG @WFD_Nigeria @PolitiKIT_NG https://t.co/CyXJriVucS'", Politics is for everyone women and youth included Get to know how to participate in politics in Nigeria by watching Politic With Value by clicking ,0
28,"b'Politics is for everyone, women and youth included. Get to know how to participate in politics in Nigeria by watching Politic With Value by clicking https://t.co/FEcUVR4u38  #politics #PDP #APC  @NewvoicesNG @WFD_Nigeria @PolitiKIT_NG https://t.co/hpXbXS38He'", Politics is for everyone women and youth included Get to know how to participate in politics in Nigeria by watching Politic With Value by clicking ,0
29,b'I Won\xe2\x80\x99t Endorse Jonathan If APC Presents Him In 2023 \xe2\x80\x94 Governor Wike: https://t.co/PIx8GWOEMj  #APC #GoodluckJonathan #NyesomWike #PDP #Politics #NigeriaNews https://t.co/PIx8GWOEMj', Won xe Endorse Jonathan If APC Presents Him In xe Governor Wike ,0
30,b'COVID-19 and Democracy: Harnessing Opportunities for Citizen/Youth Participation. watching Politic With Value by clicking https://t.co/dis0HWuCZw  #politics #PDP #APC  @NewvoicesNG @WFD_Nigeria @PolitiKIT_NG https://t.co/wKI4m9W3j9', COVID and Democracy Harnessing Opportunities for Citizen Youth Participation watching Politic With Value by clicking ,0
31,b'COVID-19 and Democracy: Harnessing Opportunities for Citizen/Youth Participation. watching Politic With Value by clicking https://t.co/fgYtb3iYPH  #politics #PDP #APC  @NewvoicesNG @WFD_Nigeria @PolitiKIT_NG https://t.co/zftA5qAbYN', COVID and Democracy Harnessing Opportunities for Citizen Youth Participation watching Politic With Value by clicking ,0
32,"b""Speaking truth to power isnt biting the hand that feeds you, for those feeding from powerful positions! For those seeking validation on this space!   That's how the powerful that you feed from got to where they are!   @OfficialAPCNg @OfficialPDPNig #APC #PDP""", Speaking truth to power is not biting the hand that feeds you for those feeding from powerful positions For those seeking validation on this space that is how the powerful that you feed from got to where they are ,0
33,"b""He alighted out of his bulletproof car and then ran for 1km for safety..  Usain Bolt of Nigeria..  Like Dino like Ortom, this PDP people are funny and take Nigerians for granted that's if you believe their film trick.  Nigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac will succeed Insha Allah. #PDP #herdsmen #APC https://t.co/eJLT3ndCEW""", He alighted out of his bulletproof car and then ran for km for safety Usain Bolt of Nigeria Like Dino like Ortom this PDP people are funny and take Nigerians for granted that is if you believe their film trick Nigeria xf xb xf xac will succeed Insha Allah ,0
34,"b'Sokoto governor Aminu Tambuwal has said that he is not surprised that the All Progressives Congress, APC, would not participate in the local government council elections scheduled to hold in the state on March 27.  #APC #PDP #SokotoLGpolls #Tambuwal  https://t.co/SYGDFqnOUz https://t.co/2OKgMP2QKr'", Sokoto governor Aminu Tambuwal has said that he is not surprised that the All Progressives Congress APC would not participate in the local government council elections scheduled to hold in the state on March ,0
35,b'Yoruba will never forgive TY Danjuma for the cold murder of Adekunle Fajuyi    #EndTheLockdown #Yorubas #YorubaNation #yorubaronu #SUNDAYIGBOHO #JK #pdp #apc', Yoruba will never forgive TY Danjuma for the cold murder of Adekunle Fajuyi ,0
36,"b'A source familiar with the goings-on in the PDP told this magazine that the PDP, aside from Ayade, could lose three other Governors to the APC.  #APC #BenAyade #PDP  https://t.co/zy42e5bEbT https://t.co/fqgfwnvB2Q'", source familiar with the goings on in the PDP told this magazine that the PDP aside from Ayade could lose three other Governors to the APC ,0
37,"b'With collation of results concluded in most of the local government collation centres, the Independent https://t.co/yIBgFhGhtn #apc #breaking #breakingnews #inec #ondodecides'", With collation of results concluded in most of the local government collation centres the Independent ,0
38,b'The Independent National Electoral Commission (INEC) started the final collation and announcement of the https://t.co/yIBgFhGhtn #apc #breaking #breakingnews #inec #ondodecides', The Independent National Electoral Commission INEC started the final collation and announcement of the ,0
39,b'Suspected political thugs allegedly loyal to the ruling All Progressives Congress (APC) in #Ondo State on https://t.co/b2qRRwjIWi #apc #breaking #breakingnews #ondodecides #pdp', Suspected political thugs allegedly loyal to the ruling All Progressives Congress APC in State on ,0
40,b'The Independent National Electoral Commission (INEC) has reacted to the claim that it is trying to undermine the https://t.co/PPsIw6j1B4 #apc #breaking #breakingnews #ondodecides', The Independent National Electoral Commission INEC has reacted to the claim that it is trying to undermine the ,0
41,"b'#ONDODECIDES:  This is where we belong, #AKETI till 2024 by God\xe2\x80\x99s Grace.  Oh Lord, grant #APC Victory in the Forthcoming Ondo Guber poll. Amen. https://t.co/BjdaKQqaws'", This is where we belong till by God xe Grace Oh Lord grant Victory in the Forthcoming Ondo Guber poll Amen ,0
42,"b""PDP will protect democracy, people's will in Ondo-Makinde  #OndoDecides #SeyiMakinde #PDP #APC #2020OndoGovernorshipElection @OndoStateToday  https://t.co/GJdDwJnt53 via @stylodee""", PDP will protect democracy people will in Ondo Makinde via ,0
43,b'Results of the Ondo state governorship election as announced by INEC   Akoko South West LGA   APC - 21232 PDP - 15055 ZLP -  2775  #OndoDecides2020  #OndoElection2020  #OndoDecides #Ondo2020', Results of the Ondo state governorship election as announced by INEC Akoko South West LGA APC PDP ZLP ,0
44,b'Results of the Ondo state governorship election as announced by INEC   Akoko North West LGA   APC - 15809 PDP - 10320 ZLP -  3477  #OndoDecides2020  #OndoElection2020 #OndoDecides #Ondo2020 #Ondo #', Results of the Ondo state governorship election as announced by INEC Akoko North West LGA APC PDP ZLP ,0
45,b'This is very commendable. However @electmonitorng calls on @inecnigeria to ensure that all 3009 polling unit results are uploaded on the #INEC Election Results Viewing Portal immediately. #OndoDecides2020 #OndoElection2020 #OndoDecides #Ondo2020 #Ondo https://t.co/Z00XLSkatU', This is very commendable However calls on to ensure that all polling unit results are uploaded on the Election Results Viewing Portal immediately ,0
46,b'Ondo State Election Results Announced By INEC As Akeredolu Leads https://t.co/gRDerss8Gi via @melodyinter1 . #melodyinter #bbnaija #ondo #ondostate #OndoDecides #ondodecides2020 #OndoDeservesBetter #akure #ondoelection #lagos #akureweddings #Ondo2020', Ondo State Election Results Announced By INEC As Akeredolu Leads via ,0
47,b'Documentation and reporting of cancellations in polling units needs to be accurate and transparent. @inecnigeria @InecNews #OndoDecides2020 #OndoElection2020 #OndoDecides #Ondo2020 #Ondo', Documentation and reporting of cancellations in polling units needs to be accurate and transparent ,0
48,"b'\xe2\x81\xa6@RotimiAkeredolu\xe2\x81\xa9 has recorded 178,854 votes so far while his closest opponent \xe2\x81\xa6@TayoJegedeSAN\xe2\x81\xa9 records 141,083 votes #Akere #OndoDecides2020 #OndoDecides #Ondo2020 #EyitayoJegedeForOndo https://t.co/FDra1armlq'", xe xa RotimiAkeredolu xe xa has recorded votes so far while his closest opponent xe xa TayoJegedeSAN xe xa records votes ,0
49,b'\xe2\x81\xa6@RotimiAkeredolu\xe2\x81\xa9 emerge victorious in nine (9) of the first ten (10) Local government results announced. #OndoDecides2020 #OndoElection2020 #Ondo2020 #OndoDecides \xe2\x81\xa6#flashinfong https://t.co/SXcTe13Pa9', xe xa RotimiAkeredolu xe xa emerge victorious in nine of the first ten Local government results announced xe xa ,0
50,"b'Ondo 2020: After 12 Councils  Akeredolu has polled 178,854 votes while Jegede got 141,083 votes.  Hon Agboola Ajayi of the Zenith Labour Party, ZLP, is trailing the duo with 32,060 votes and is yet to win any council.  #ondo #ondo2020 #ondodecides #ondodecides2020 #OndoState https://t.co/sycX2BRYWY'", Ondo After Councils Akeredolu has polled votes while Jegede got votes Hon Agboola Ajayi of the Zenith Labour Party ZLP is trailing the duo with votes and is yet to win any council ,0
51,"b'@DeeOneAyekooto Ondo Governorship Election Results  OWO LGA  REGISTRATION AREAS:18 REGISTERED VOTERS:128,448 ACCREDITED VOTERS:44,634 APC: 35,957 PDP:  5,311 ZLP :  408 TOTAL VALID VOTES: 42,680 REJECTED VOTES : 980 TOTAL VOTES CAST: 43,660 No cancellation of results #OndoDecides2020 #Ondo2020'", Ondo Governorship Election Results OWO LGA REGISTRATION AREAS REGISTERED VOTERS ACCREDITED VOTERS APC PDP ZLP TOTAL VALID VOTES REJECTED VOTES TOTAL VOTES CAST No cancellation of results ,0
52,"b'Ondo Governorship Election Results  OWO LGA  REGISTRATION AREAS:18 REGISTERED VOTERS:128,448 ACCREDITED VOTERS:44,634 APC: 35,957 PDP:  5,311 ZLP :  408 TOTAL VALID VOTES: 42,680 REJECTED VOTES : 980 TOTAL VOTES CAST: 43,660 No cancellation of results #OndoDecides2020 #Ondo2020'", Ondo Governorship Election Results OWO LGA REGISTRATION AREAS REGISTERED VOTERS ACCREDITED VOTERS APC PDP ZLP TOTAL VALID VOTES REJECTED VOTES TOTAL VOTES CAST No cancellation of results ,0
53,"b'Ondo Governorship Election Results  IFEDORE LGA  REGISTRATION AREAS: 10 REGISTERED VOTERS: 75,257  ACCREDITED VOTERS: 24,441 APC: 9,350 PDP: 11,852 ZLP : 1,863 TOTAL VALID VOTES: 23,654 REJECTED VOTES : 754 TOTAL VOTE CAST: 24,408 #OndoDecides2020 #OndoDecides #Ondo2020'", Ondo Governorship Election Results IFEDORE LGA REGISTRATION AREAS REGISTERED VOTERS ACCREDITED VOTERS APC PDP ZLP TOTAL VALID VOTES REJECTED VOTES TOTAL VOTE CAST ,0
54,b'#OndoDecides2020: Pandemonium At Collation Centre As Gun Battle Ensues  #OndoDecides  #Ondo4Continuity  #AketiVision  #Ondo2020  #Election2020  #election  #ElectionSecurity  #Nigerianslivesmatters  #naijahup  #NaijaPatriotReport https://t.co/eQ5Vmgi0xH', Pandemonium At Collation Centre As Gun Battle Ensues ,1
55,b'Agboola is even not popular in his own Local government. Lmaooo\xf0\x9f\x98\x82 #OndoDecides2020  #Ondo2020', Agboola is even not popular in his own Local government Lmaooo xf ,0
56,b'Election results of each Units. #OndoDecides2020 #Ondo2020 https://t.co/7JemqE9xyP', Election results of each Units ,0
57,"b'Where are the influencer in ONDO STATE,your best way to make money with Miss Ondo state Intl pageant 2020. For more information :08162528759    #ondo2020 #missondostateintl #missondo #mosi #ondodecides2020 #endsars https://t.co/6TE7M7dR6M'", Where are the influencer in ONDO STATE your best way to make money with Miss Ondo state Intl pageant For more information ,0
58,"b""What's going on here, is this true that Aketi APC gov candidate is leading in ONDO STATE election?  #OndoDecides2020 #Ondo2020 #EndSARS #PoliceBrutalityInNigeria #Nigeria https://t.co/MBv9Qi670X""", what is going on here is this true that Aketi APC gov candidate is leading in ONDO STATE election ,0
59,b'SW PDP Leader #OndoDecides2020 #Ondo2020 #OndoDecides https://t.co/RDH924uv3S', SW PDP Leader ,0
60,"b'The social media is very quiet, shows that Aketi dey pepper then oooooo. Aketi is a gooooooal. \xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f\xe2\x9c\x8c\xef\xb8\x8f #OndoDecides2020 #Ondo2020 #OndoDecides https://t.co/2kcqbSfsoR'", The social media is very quiet shows that Aketi dey pepper then oooooo Aketi is gooooooal xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb xe xef xb ,0
61,b'4 + 4 = @RotimiAkeredolu  again till 2024...\xf0\x9f\x99\x8c #OndoDecides2020 #Ondo2020 #OndoDecides https://t.co/dCrfZmCTK4', again till xf ,0
62,b'My nominee for the Minister of a proposed Ministry of Revolution and National Fake news Authorities \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 #OndoDecides2020 #Ondo2020 #OndoDecides https://t.co/vXi9rjrO1W', My nominee for the Minister of proposed Ministry of Revolution and National Fake news Authorities xf xf xa xa xf xf xa xa xf xf xa xa ,0
63,"b'Polling unit 16 ward 11 Emure, Owo Local Government SPD 2  AAC 1  ADC 3  ZLP 6  PDP 38  APC 410  #Ondo2020 #OndoDecide2020 #OndoDecides2020 #OndoElection2020 #Ondolivesmatter'", Polling unit ward Emure Owo Local Government SPD AAC ADC ZLP PDP APC ,0
64,"b'Ondo 2020 Guber Election Updates, Results, Live Monitoring: https://t.co/FVSxSlOFbV  #OndoDecides2020 #OndoElection2020 #OndoDecides #Ondo2020'", Ondo Guber Election Updates Results Live Monitoring ,0
65,"b'St Peter\xe2\x80\x99s School, St Peter\xe2\x80\x99s area, Akure Unit 25, Ward 11, Akure South, St Peter\xe2\x80\x99s Pry School, Akure. APC :41  PDP:159  ZLP: 9  #Ondo2020 #OndoDecide2020 #OndoDecides2020 #OndoElection2020 #OndoDebate2020 #OndoDecides'", St Peter xe School St Peter xe area Akure Unit Ward Akure South St Peter xe Pry School Akure APC PDP ZLP ,0
66,b'Owo LGA  Ward: 11 (Uso / Emure Ile)  Polling Unit: 03  Time: 04:25Pm  PDP- 73 APC- 19  #Ondo2020 #OndoDecides2020 #OndoElection2020 https://t.co/dUi6nC2cIi', Owo LGA Ward Uso Emure Ile Polling Unit Time Pm PDP APC ,0
67,b'PHOTO NEWS: Thug shot by an unknown gunman at the Oke Ijebu area of Akure during the ongoing Saturday governorship election in Ondo state.  #OndoDecides2020 #OndoDecide2020 #OndoDecides #Ondo2020 #ondoelection https://t.co/zWtBh1inmY', PHOTO NEWS Thug shot by an unknown gunman at the Oke Ijebu area of Akure during the ongoing Saturday governorship election in Ondo state ,0
68,"b'#FACTCHECK: Viral #WhatsApp posts which claim that @AAjayiAgboola, the candidate of the @ZLabourParty (#ZLP) for the #OndoDecides2020, has withdrawn from the race is FALSE.  https://t.co/wOvDRDYRhb #FactCheckHub  #OndoDecides #Ondo2020 #OndoElection  #OndoDecide2020'", Viral posts which claim that the candidate of the for the has withdrawn from the race is FALSE ,1
69,b'Okitipupa LGA  Ward01 Polling unit 04   Total accredited voters:183   APC: 43 PDP:81 ZLP:51 Void votes:2 ADP: 2 SDP 3 YPP: 1 #SnapAndSend #Ondo2020 #OndoDecides #OndoDecides2020', Okitipupa LGA Ward Polling unit Total accredited voters APC PDP ZLP Void votes ADP SDP YPP ,0
70,"b""Result's from:  Odigbo Local Government.   Ward: Koseru ward 07 Polling Unit: L.A primary school area Koseru south. 002  Total accredited voters - 171.  Void - 1  APC- 91 PDP- 60 ZLP- 17 #OndoElection2020 #Ondo2020 #OndoDecides2020""", Result from Odigbo Local Government Ward Koseru ward Polling Unit primary school area Koseru south Total accredited voters Void APC PDP ZLP ,0
71,"b'Voting ends, collation and counting begin at Odigbo LGA, Kosere ward 07, Poling unit: L.A primary school area of Koseru South 002. #ondodecides #ondoelection2020 #ondodecides2020 #ondo2020 https://t.co/akzVOOdqUk  Credit: @ptcij https://t.co/ih12W1meVg'", Voting ends collation and counting begin at Odigbo LGA Kosere ward Poling unit primary school area of Koseru South Credit ,0
72,"b'Voting ends at polling units in Akoko Northwest, Ward 06, PU 22 post and Okitipupa LGA, Ward 09 PU 010, Iju-odo/Adekanle as voters wait for @inecnigeria officials to count votes. #ondodecides #ondoelection2020 #ondodecides2020 #ondo2020 https://t.co/akzVOOdqUk  Credit: @ptcij https://t.co/GBqrZP0qmJ'", Voting ends at polling units in Akoko Northwest Ward PU post and Okitipupa LGA Ward PU Iju odo Adekanle as voters wait for officials to count votes Credit ,0
73,"b'APC candidate and incumbent Governor, Rotimi Akeredolu has cast his vote at Ward 05, Unit 06, Ijebu 2, Owo, Ondo state.  #OndoDecides2020 #OndoDecides #Ondo2020  #Nigeria #INEC #OndoElection #ondoelection2020 https://t.co/yPjyjLYQHv'", APC candidate and incumbent Governor Rotimi Akeredolu has cast his vote at Ward Unit Ijebu Owo Ondo state ,0
74,"b'Voting has commenced peacefully at Akoko Northwest, Ward 5, Polling Unit 09 in Ajowa as people give and collect money. #ondodecides #ondoelection2020 #ondodecides2020 #ondo2020 https://t.co/akzVOOdqUk  Vote-buying activated!  Credit: @ptcij'", Voting has commenced peacefully at Akoko Northwest Ward Polling Unit in Ajowa as people give and collect money Vote buying activated Credit ,1
75,b'#ONDO2020  Location: Ilaje  @inecnigeria staff caught collecting voters phone number.   #SeeCaptureVideoReport #OndoDecides  #OndoDecides2020  #OndoElection2020  #ondoelection   @inecnigeria @EiENigeria @AIT_Online @UKinNigeria @USinNigeria @OfficialPDPNig @OfficialAPCNg https://t.co/VF1CtVuuZ6', Location Ilaje staff caught collecting voters phone number ,0
76,"b'#Ondo2020: The Battle Begins; Who wins the race, Akeredolu, Jegede Or Ajayi? \xe2\x80\x93 Travis News https://t.co/Aoa3T9uTa7 #OndoDecides2020 #OndoElection2020 https://t.co/eJ5RKOap1s'", The Battle Begins Who wins the race Akeredolu Jegede Or Ajayi xe Travis News ,1
77,"b'After arriving at PU 04, Apoi Ward 2, Idumado Quarter, Kiribo, Ese Odo LGA, in a convoy, @AAjayiAgboola of the @ZLabourParty casts his vote. #ondodecides #ondoelection2020 #ondodecides2020 #ondo2020 https://t.co/akzVOOdqUk  Credit: @TheICIR, @TheWhistlerNG https://t.co/dNG3GpOymQ'", After arriving at PU Apoi Ward Idumado Quarter Kiribo Ese Odo LGA in convoy of the casts his vote Credit ,0
78,"b""After patiently waiting at the queue and @inecnigeria's card reader failure, @TayoJegedeSAN of @OfficialPDPNig finally casts his vote. #ondodecides #ondoelection2020 #ondodecides2020 #ondo2020 https://t.co/akzVOOdqUk  Credit: @Livenewsng https://t.co/r1gW0PtAZq""", After patiently waiting at the queue and card reader failure of finally casts his vote Credit ,0
79,"b'PHOTO: Ever-busy Oba Adesida road, Akure, Deserted 11:16 AM  #OndoDecides #OndoElection2020 #ONDO2020 #Ondolivesmatter #OndoDecides2020 #Ondo4Continuity https://t.co/P3XotHvj4c'", PHOTO Ever busy Oba Adesida road Akure Deserted AM ,0
80,"b""A voter at Ward 10 Oke-Otunba, PU 7 front of MDS Ododigbo/Okedibo II, just collapsed on the queue. It was observed that he's epileptic. #ondodecides #ondoelection2020 #ondodecides2020 #ondo2020  https://t.co/akzVOOdqUk  Credit: @ptcij https://t.co/kzfjrwzXpO""", voter at Ward Oke Otunba PU front of MDS Ododigbo Okedibo II just collapsed on the queue It was observed that he is epileptic Credit ,0
